"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.752124998E-3,4.111517221E-3,-3.258784302E-3,-1.050889343E-1,1.052198097E-1
1.470812500E-2,2.263370901E-3,-4.172850400E-3,-1.011279374E-1,1.012392970E-1
2.466512500E-2,3.019442316E-3,-4.589101300E-3,-1.018294170E-1,1.019774831E-1
3.462212500E-2,3.851186950E-3,-2.099934965E-3,-1.101484001E-1,1.102357084E-1
4.457812500E-2,1.755811740E-3,-2.540983260E-4,-1.153737903E-1,1.153874296E-1
5.453512500E-2,3.792338539E-3,-4.901653156E-4,-1.216985583E-1,1.217586186E-1
6.449212500E-2,2.248237608E-3,-8.845794946E-4,-1.212250516E-1,1.212491245E-1
7.444812500E-2,1.595626352E-3,1.509278081E-3,-1.159370020E-1,1.159578043E-1
8.440512500E-2,5.524661392E-4,-8.705230430E-4,-1.061884984E-1,1.061935037E-1
9.436212500E-2,2.353329444E-3,-1.480042003E-3,-1.000402719E-1,1.000788923E-1
1.043181250E-1,5.303956568E-4,-1.681909896E-3,-1.000959277E-1,1.001114623E-1
1.142751250E-1,2.304983791E-3,-2.852788195E-3,-1.061161160E-1,1.061794775E-1
1.242321250E-1,2.228551079E-3,-1.654898748E-3,-1.125119627E-1,1.125461988E-1
1.341881250E-1,1.144228037E-3,1.247692853E-5,-1.166245490E-1,1.166301627E-1
1.441451250E-1,-7.186532021E-4,-5.345363170E-4,-1.160692871E-1,1.160727427E-1
1.541021250E-1,1.765567227E-3,-5.567148328E-4,-1.122466922E-1,1.122619573E-1
1.640581250E-1,-8.826800622E-4,1.013521105E-4,-1.069110483E-1,1.069147401E-1
1.740151250E-1,2.410718938E-3,-1.956394874E-3,-1.039342284E-1,1.039805890E-1
1.839721250E-1,2.159582917E-3,-3.747103736E-3,-1.032854840E-1,1.033759923E-1
1.939281250E-1,1.582702855E-3,-1.963082701E-3,-1.077779979E-1,1.078074926E-1
2.038851250E-1,-5.198628642E-4,-5.177846178E-4,-1.169547141E-1,1.169570156E-1
2.138421250E-1,-7.913836744E-4,3.072605468E-3,-1.187979206E-1,1.188402842E-1
2.237981250E-1,-2.369133290E-4,4.983935505E-4,-1.161898896E-1,1.161912001E-1
2.337551250E-1,-1.012768829E-3,-2.462957054E-3,-1.095723435E-1,1.096047003E-1
