"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.032500004E-4,-2.326184651E-3,3.502881154E-4,2.298751287E-2,2.310756553E-2
1.006025000E-2,7.748000789E-4,-5.957204849E-5,2.018080838E-2,2.019576418E-2
2.001725000E-2,2.585095353E-4,-1.584253274E-3,2.207826823E-2,2.213654475E-2
2.997325000E-2,-7.833191194E-4,3.278255463E-7,2.097838372E-2,2.099300294E-2
3.993025000E-2,1.258688280E-4,7.624542341E-4,2.054654621E-2,2.056107343E-2
4.988725000E-2,2.940830076E-3,2.374465577E-3,2.043416165E-2,2.078079716E-2
5.984425000E-2,-4.088256974E-4,1.310019754E-3,2.351992391E-2,2.355992595E-2
6.980125000E-2,1.080938382E-4,8.857781067E-4,2.011746727E-2,2.013724848E-2
7.975825000E-2,-5.999931600E-4,1.661798917E-3,2.165887877E-2,2.173082136E-2
8.971525000E-2,-2.300799824E-4,-1.050097868E-3,2.252014354E-2,2.254578691E-2
9.967225000E-2,-1.685011666E-4,1.483311877E-3,1.885119267E-2,1.891021078E-2
1.096292500E-1,2.458973555E-3,-4.986952990E-5,2.119237743E-2,2.133461739E-2
1.195862500E-1,-1.797489589E-3,1.856125891E-5,1.909241267E-2,1.917684893E-2
1.295432500E-1,-9.493064135E-5,7.067229599E-4,1.822262444E-2,1.823657069E-2
1.395002500E-1,-1.924411394E-3,1.448418014E-3,1.807168685E-2,1.823148758E-2
1.494572500E-1,-1.300699078E-3,-1.505826600E-3,1.929833926E-2,1.940065025E-2
1.594132500E-1,-1.157477731E-3,1.642625779E-3,1.828858443E-2,1.839864926E-2
1.693702500E-1,-1.341502182E-3,4.303548485E-4,1.943826862E-2,1.948925653E-2
1.793272500E-1,9.903917089E-5,-1.935024746E-3,1.874174550E-2,1.884163353E-2
1.892842500E-1,-2.295941580E-3,6.567630917E-4,1.926558837E-2,1.941302606E-2
1.992412500E-1,5.247140070E-4,1.156311482E-3,1.905104518E-2,1.909331567E-2
2.091982500E-1,-4.694440868E-4,8.564386517E-4,1.990352198E-2,1.992746979E-2
2.191552500E-1,-9.779944085E-4,-1.686131582E-4,1.846465096E-2,1.849130170E-2
2.291122500E-1,-7.489623968E-4,-1.373693347E-3,2.038212866E-2,2.044209252E-2
2.390692500E-1,7.728673518E-4,-2.625025809E-4,1.637628675E-2,1.639661548E-2
2.490262500E-1,-3.342088312E-4,-2.462575212E-4,1.916781068E-2,1.917230567E-2
2.589832500E-1,1.348922960E-4,5.253115669E-4,1.918235421E-2,1.919001984E-2
2.689402500E-1,5.040063988E-4,3.420859575E-4,1.721907035E-2,1.722984123E-2
2.788972500E-1,7.227705792E-4,-1.681381837E-4,1.656956226E-2,1.658617078E-2
2.888542500E-1,6.836222019E-4,-1.432606950E-3,1.618447155E-2,1.626212844E-2
2.988102500E-1,2.032964723E-3,8.693104610E-4,1.676496677E-2,1.691013770E-2
3.087672500E-1,-1.747957431E-4,-6.007542834E-4,1.496573351E-2,1.497880632E-2
3.187242500E-1,-7.750310469E-4,-3.547556698E-4,1.538142562E-2,1.540502447E-2
3.286812500E-1,-5.979307462E-4,-2.223229036E-3,1.180187054E-2,1.202432604E-2
3.386383750E-1,-1.546621788E-4,-2.598109655E-3,1.342836767E-2,1.367827301E-2
3.485953750E-1,-8.883629926E-4,4.283068702E-4,1.333941706E-2,1.337582457E-2
3.585523750E-1,-2.287025331E-3,7.622679695E-4,1.219988056E-2,1.243577995E-2
3.685093750E-1,1.058437629E-3,7.351040840E-4,1.250800863E-2,1.257421759E-2
3.784663750E-1,7.380566094E-4,1.403356902E-3,9.287908673E-3,9.422281341E-3
3.884233750E-1,1.754585188E-3,-2.547708340E-3,9.510016069E-3,1.000048962E-2
3.983803750E-1,5.552789662E-5,1.061065122E-4,1.005154476E-2,1.005225815E-2
4.083373750E-1,-1.514938194E-3,-7.567582652E-4,6.210733205E-3,6.437462835E-3
4.182943750E-1,-1.958064036E-3,-2.111609094E-3,7.327677682E-3,7.873231100E-3
4.282513750E-1,3.399949986E-3,-7.571252063E-4,8.019035682E-3,8.742873198E-3
4.382073750E-1,4.574633203E-5,-9.796675295E-5,8.225867525E-3,8.226578070E-3
4.481643750E-1,2.096380340E-3,1.076486893E-3,7.894037291E-3,8.238292257E-3
4.581213750E-1,2.893360797E-4,-2.216038294E-3,7.464500144E-3,7.791874196E-3
4.680783750E-1,-2.981558209E-3,1.121701673E-3,6.464216858E-3,7.206525070E-3
4.780353750E-1,-2.039324027E-4,8.793734014E-4,7.682302967E-3,7.735157715E-3
4.879923750E-1,-1.512609655E-3,-6.740484387E-4,6.348324940E-3,6.560759011E-3
4.979493750E-1,9.351547342E-4,-9.718965739E-4,6.893221289E-3,7.023930315E-3
5.079063750E-1,-2.279813401E-3,1.525349915E-3,6.969654933E-3,7.490015446E-3
5.178633750E-1,-1.725599635E-3,2.563055605E-4,5.794409662E-3,6.051327952E-3
5.278203750E-1,1.071252162E-3,8.001234382E-4,7.886854932E-3,7.999391191E-3
5.377773750E-1,-2.915079240E-4,1.094610430E-3,6.635967642E-3,6.731954799E-3
5.477343750E-1,-1.044915989E-3,1.561129466E-4,6.557937711E-3,6.642497099E-3
5.576913750E-1,-9.079931770E-4,1.462073997E-3,1.133088395E-2,1.146084827E-2
5.676483750E-1,1.043837517E-3,-1.183777116E-3,6.728675216E-3,6.911294755E-3
