"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.050416668E-3,3.367083613E-3,1.873513684E-3,-1.203578711E-1,1.204195351E-1
1.400641667E-2,1.730038435E-3,3.533810377E-4,-1.183834001E-1,1.183965681E-1
2.396341667E-2,3.031466622E-4,-2.180796117E-3,-1.114298627E-1,1.114516131E-1
3.392041667E-2,9.154074360E-4,-1.385043375E-3,-1.043162942E-1,1.043295047E-1
4.387741667E-2,7.823646301E-4,-1.857886091E-4,-9.676385671E-2,9.676719784E-2
5.383441667E-2,3.110233694E-3,-3.472927958E-3,-9.141383320E-2,9.153263725E-2
6.379041667E-2,-1.702139387E-3,-9.426912293E-4,-8.564726263E-2,8.566936174E-2
7.374741667E-2,8.510332555E-4,-3.858853132E-3,-8.148660511E-2,8.158236217E-2
8.370441667E-2,-1.134367194E-3,-2.884773538E-3,-9.297292680E-2,9.302458720E-2
9.366141667E-2,3.951471299E-3,-9.009847417E-4,-1.195190474E-1,1.195877444E-1
1.036184167E-1,-7.712617517E-4,1.367665827E-4,-1.392316669E-1,1.392338702E-1
1.135744167E-1,1.044747652E-3,5.607306957E-5,-1.435292065E-1,1.435330198E-1
1.235314167E-1,1.360074151E-3,3.138548695E-3,-1.303977072E-1,1.304425634E-1
1.334884167E-1,2.869287506E-3,-6.789714098E-5,-1.226726696E-1,1.227062398E-1
1.434454167E-1,2.501323353E-3,-5.027884617E-4,-1.161839291E-1,1.162119392E-1
1.534014167E-1,-8.567119949E-5,-1.261256635E-3,-1.115068793E-1,1.115140451E-1
1.633584167E-1,3.275447059E-3,-3.603008576E-3,-1.116823852E-1,1.117884850E-1
1.733154167E-1,-6.119692698E-4,-3.149206750E-3,-1.285287440E-1,1.285687755E-1
1.832724167E-1,2.526060212E-3,-2.699227072E-3,-1.477502137E-1,1.477964562E-1
1.932294167E-1,-1.377335051E-3,2.476627007E-3,-1.588523984E-1,1.588776737E-1
2.031854167E-1,2.235238906E-3,1.077940688E-4,-1.565084606E-1,1.565244587E-1
2.131424167E-1,-4.007578827E-4,-6.554676220E-4,-1.502697468E-1,1.502717107E-1
2.230994167E-1,2.928414382E-3,-2.499157563E-3,-1.409615129E-1,1.410140756E-1
2.330564167E-1,-1.065013930E-5,-4.738609307E-3,-1.357582361E-1,1.358409113E-1
2.430134167E-1,7.557669887E-4,-3.594953567E-3,-1.390163749E-1,1.390649035E-1
2.529694167E-1,1.399453031E-3,-2.049521543E-3,-1.493558288E-1,1.493764459E-1
2.629264167E-1,5.185494665E-4,-1.657154411E-3,-1.663166583E-1,1.663257222E-1
2.728834167E-1,-8.806753904E-4,6.922855973E-4,-1.753943115E-1,1.753978887E-1
2.828404167E-1,2.224821597E-3,1.886112615E-3,-1.763963848E-1,1.764204972E-1
2.927974167E-1,2.959055128E-3,-1.777864061E-3,-1.716522276E-1,1.716869362E-1
3.027534167E-1,4.435913637E-3,-1.846256666E-3,-1.615076810E-1,1.615791355E-1
3.127104167E-1,4.517673049E-3,-3.742161207E-3,-1.602559984E-1,1.603633317E-1
3.226674167E-1,1.254287781E-3,-4.076350480E-3,-1.650661081E-1,1.651211977E-1
3.326244167E-1,2.653246280E-3,-3.583398648E-3,-1.800282747E-1,1.800834810E-1
3.425804167E-1,1.716823783E-3,3.810869530E-4,-1.891910583E-1,1.891992316E-1
3.525374167E-1,2.623097505E-3,3.517922014E-4,-1.917034835E-1,1.917217514E-1
3.624944167E-1,5.591384834E-4,-1.569380052E-3,-1.867190897E-1,1.867265221E-1
3.724514167E-1,2.028670860E-3,-2.546760254E-3,-1.784577072E-1,1.784874078E-1
3.824084167E-1,1.995062456E-3,-2.291048877E-3,-1.701657325E-1,1.701928485E-1
3.923644167E-1,1.454973361E-3,-2.465406433E-4,-1.664303839E-1,1.664369263E-1
4.023214167E-1,4.707344808E-3,-1.259167679E-3,-1.725349128E-1,1.726037101E-1
4.122784167E-1,1.014339272E-3,-1.126808114E-3,-1.815579683E-1,1.815642983E-1
4.222354167E-1,4.113464383E-4,-6.217584014E-4,-1.866720319E-1,1.866735206E-1
4.321924167E-1,4.837843589E-4,-2.839905210E-3,-1.883239895E-1,1.883460223E-1
4.421484167E-1,1.758856699E-3,-1.927543432E-3,-1.851260215E-1,1.851444108E-1
4.521054167E-1,-5.831271410E-4,1.574456692E-4,-1.807864010E-1,1.807874100E-1
4.620624167E-1,2.013631631E-3,1.341970637E-4,-1.753823310E-1,1.753939416E-1
4.720194167E-1,-2.045151778E-4,-4.954039119E-3,-1.739056110E-1,1.739762796E-1
4.819754167E-1,3.051950596E-3,-2.916117199E-3,-1.775918007E-1,1.776419596E-1
4.919324167E-1,9.650976863E-4,-3.028236330E-3,-1.835445017E-1,1.835720178E-1
5.018894167E-1,-3.224292304E-4,-3.719571047E-3,-1.889989674E-1,1.890358401E-1
5.118464167E-1,2.449655207E-3,-2.326738089E-3,-1.920125932E-1,1.920423142E-1
5.218034167E-1,2.711676294E-3,-3.513424657E-3,-1.873319298E-1,1.873844958E-1
5.317594167E-1,3.710240126E-4,-1.553870738E-3,-1.779179275E-1,1.779250997E-1
5.417164167E-1,1.025085454E-3,-2.968374640E-3,-1.722985506E-1,1.723271673E-1
5.516734167E-1,1.288738335E-3,-5.234457552E-3,-1.698958427E-1,1.699813453E-1
5.616304167E-1,3.424305934E-3,-3.461721353E-3,-1.739763170E-1,1.740444434E-1
5.715874167E-1,1.255693845E-3,-2.301648259E-3,-1.850856841E-1,1.851042539E-1
5.815434167E-1,1.151304459E-3,-1.593801193E-3,-1.911608726E-1,1.911709834E-1
5.915004167E-1,4.240571521E-3,-2.911266871E-3,-1.925372034E-1,1.926058998E-1
6.014574167E-1,8.784879465E-4,-8.470285684E-4,-1.819767505E-1,1.819808422E-1
6.114144167E-1,2.462003613E-3,-2.088860609E-3,-1.744077802E-1,1.744376639E-1
6.213704167E-1,3.239812562E-3,-1.634578221E-3,-1.677242815E-1,1.677635325E-1
6.313274167E-1,1.619545394E-3,-3.060966730E-3,-1.710774601E-1,1.711125062E-1
6.412844167E-1,3.759584390E-3,-3.279248253E-3,-1.824380010E-1,1.825061976E-1
6.512414167E-1,1.035170513E-3,-2.109055407E-3,-1.902405322E-1,1.902550387E-1
6.611984167E-1,2.799123060E-3,-2.222510055E-3,-1.918266118E-1,1.918599062E-1
6.711544167E-1,1.090172678E-3,-2.570585348E-3,-1.855476797E-1,1.855686876E-1
6.811114167E-1,1.281907316E-3,-3.368780948E-3,-1.767041683E-1,1.767409264E-1
6.910684167E-1,2.140510362E-3,-2.007372677E-3,-1.753044128E-1,1.753289722E-1
7.010254167E-1,4.615024664E-3,-3.558556549E-3,-1.769170314E-1,1.770129876E-1
7.109824167E-1,2.053330420E-3,-3.846178763E-3,-1.838625520E-1,1.839142390E-1
7.209384167E-1,1.520072576E-3,-1.548142172E-3,-1.874011010E-1,1.874136602E-1
7.308954167E-1,2.423683181E-3,2.356432378E-4,-1.901540160E-1,1.901696074E-1
7.408524167E-1,7.866419619E-4,-2.069418319E-3,-1.861055791E-1,1.861187467E-1
7.508094167E-1,1.679333509E-3,-4.254009575E-3,-1.794807017E-1,1.795389624E-1
7.607654167E-1,-3.264767583E-4,-2.438634634E-3,-1.754175425E-1,1.754347962E-1
7.707224167E-1,-1.650892664E-4,-1.058850437E-3,-1.705495566E-1,1.705529234E-1
7.806794167E-1,2.516263165E-3,-1.449799165E-4,-1.731685102E-1,1.731868515E-1
7.906364167E-1,-1.134664519E-3,-3.726799041E-4,-1.751650870E-1,1.751691584E-1
8.005934167E-1,2.355340635E-3,3.164587542E-4,-1.829054654E-1,1.829209038E-1
8.105494167E-1,1.133482205E-3,-3.530743532E-3,-1.843283921E-1,1.843656885E-1
8.205064167E-1,1.103348797E-3,-2.286505885E-3,-1.856817603E-1,1.856991158E-1
8.304634167E-1,1.227452070E-3,-1.589822583E-3,-1.838556379E-1,1.838666086E-1
8.404204167E-1,5.037811352E-4,-2.376593649E-3,-1.786479354E-1,1.786644531E-1
8.503774167E-1,1.222568331E-3,-1.843960956E-3,-1.725317240E-1,1.725459088E-1
8.603334167E-1,2.082917839E-3,-2.721872181E-3,-1.708076149E-1,1.708419985E-1
8.702904167E-1,-2.958176192E-4,-4.930963740E-3,-1.778151840E-1,1.778837867E-1
8.802474167E-1,1.430246863E-3,-6.609540433E-4,-1.862947196E-1,1.863013822E-1
8.902044167E-1,2.854771679E-3,5.383882672E-5,-1.915619224E-1,1.915832006E-1
9.001604167E-1,9.093345143E-4,-4.597175866E-4,-1.898480356E-1,1.898507699E-1
9.101174167E-1,1.122653717E-3,-1.917798072E-3,-1.847507358E-1,1.847641000E-1
9.200744167E-1,1.091029495E-3,-1.218719408E-3,-1.734448373E-1,1.734525503E-1
9.300314167E-1,-1.414472470E-3,-7.547968999E-4,-1.718706340E-1,1.718781117E-1
9.399884167E-1,1.712100580E-3,-1.243585721E-4,-1.761405766E-1,1.761489412E-1
9.499444167E-1,4.241958959E-4,-4.772907123E-3,-1.795616746E-1,1.796255983E-1
9.599014167E-1,3.628619947E-3,-2.250514925E-3,-1.902190596E-1,1.902669765E-1
9.698584167E-1,3.677355591E-3,-1.459555700E-3,-1.889021248E-1,1.889435524E-1
9.798154167E-1,-1.556457719E-3,-1.465783454E-3,-1.820455790E-1,1.820581333E-1
9.897714167E-1,1.599388197E-3,-7.531214505E-4,-1.751951277E-1,1.752040468E-1
