"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.828750000E-3,1.015611459E-3,4.483126104E-4,6.666138023E-2,6.667062370E-2
1.878575000E-2,-3.591121640E-4,1.482152380E-3,7.078368962E-2,7.080011619E-2
2.874175000E-2,-1.040047035E-3,1.243277453E-3,7.433200628E-2,7.434967783E-2
3.869875000E-2,-7.649424952E-4,1.816655509E-3,7.526251674E-2,7.528832446E-2
4.865475000E-2,-2.758261748E-3,1.365384087E-4,7.815580815E-2,7.820458425E-2
5.861175000E-2,-2.720977180E-3,2.579782158E-4,8.286214620E-2,8.290721044E-2
6.856775000E-2,-1.963677118E-3,1.187358983E-3,8.392649144E-2,8.395785737E-2
7.852475000E-2,-1.512537710E-3,8.853562176E-4,8.421944082E-2,8.423767469E-2
8.848175000E-2,-1.653599553E-3,-8.402839303E-4,8.979991823E-2,8.981907249E-2
9.843775000E-2,9.027686901E-4,2.666832879E-3,9.298931807E-2,9.303193142E-2
1.083947500E-1,-1.806257991E-3,3.073077649E-3,9.738194942E-2,9.744716747E-2
1.183507500E-1,-2.130098408E-3,-1.948312856E-3,9.635850042E-2,9.640173155E-2
1.283077500E-1,1.740949228E-3,2.779725939E-3,9.700349718E-2,9.705893182E-2
1.382637500E-1,-1.577083021E-3,-7.431032136E-4,9.862589836E-2,9.864130586E-2
1.482207500E-1,-2.307002433E-3,-4.620756954E-5,1.018601879E-1,1.018863204E-1
1.581777500E-1,-1.753331162E-3,1.523725688E-3,1.075095534E-1,1.075346455E-1
1.681337500E-1,4.341966705E-4,1.553137787E-3,1.110924557E-1,1.111041605E-1
1.780907500E-1,-1.471827738E-3,2.530517988E-3,1.135478914E-1,1.135856216E-1
1.880467500E-1,-2.933928277E-3,1.486634836E-3,1.188363209E-1,1.188818287E-1
1.980036250E-1,-2.628730144E-3,1.097546890E-3,1.180813164E-1,1.181156726E-1
2.079596250E-1,-9.987112135E-4,2.061964013E-3,1.201799661E-1,1.202018027E-1
2.179166250E-1,7.437950699E-4,7.759230211E-4,1.134661436E-1,1.134712344E-1
2.278726250E-1,-1.401099842E-3,3.242637962E-3,1.110822707E-1,1.111384211E-1
2.378296250E-1,-7.214611396E-4,1.878567040E-3,1.073698252E-1,1.073886814E-1
2.477866250E-1,-1.706331270E-3,3.368093632E-3,1.089146659E-1,1.089800902E-1
2.577426250E-1,-6.067119539E-4,8.572656661E-4,1.106164232E-1,1.106214088E-1
2.676996250E-1,-1.645613927E-3,2.818994224E-3,1.134236977E-1,1.134706568E-1
2.776556250E-1,-1.854028087E-4,-1.063096337E-3,1.137611195E-1,1.137662378E-1
2.876126250E-1,-3.148535034E-3,1.356005669E-5,1.112115309E-1,1.112560922E-1
2.975686250E-1,-2.793801716E-3,-6.860522553E-4,1.114248484E-1,1.114619794E-1
3.075256250E-1,-1.492264913E-3,3.423392773E-4,1.122345328E-1,1.122449750E-1
3.174816250E-1,-2.012380399E-3,7.644500583E-4,1.120635569E-1,1.120842310E-1
3.274386250E-1,2.830861602E-3,7.363576442E-4,1.154165044E-1,1.154535642E-1
3.373956250E-1,-5.193951074E-4,2.896181308E-3,1.121972799E-1,1.122358555E-1
3.473516250E-1,-1.137119485E-3,1.659061760E-3,1.113448367E-1,1.113630018E-1
